Date,Open,High,Low,Close,AdjClose,Volume
2023-04-01,62.900402,67.703308,41.010109,42.336899,42.336899,24893293
2023-05-01,42.336586,71.393326,30.400955,58.918983,58.918983,27187128
2023-06-01,58.918892,65.317154,43.254684,50.685200,50.685200,35278445
2023-07-01,50.685673,93.810089,44.131973,68.272942,68.272942,40693793
2023-08-01,68.274529,74.280769,55.139614,55.473995,55.473995,33801423
2023-09-01,55.475147,59.271442,46.938988,55.045544,55.045544,23499982
2023-10-01,55.043751,87.081581,45.967632,85.260033,85.260033,38013825
2023-11-01,85.259117,313.048859,82.051559,287.970673,287.970673,252797563
2023-12-01,287.870270,392.312866,259.226532,266.398254,266.398254,352628814
2024-01-01,266.447083,370.869598,195.137131,342.785858,342.785858,229608113
2024-01-29,357.705505,358.043182,350.161957,350.295380,350.295380,10539717
