Date,Open,High,Low,Close,AdjClose,Volume
2023-02-01,21.705996,24.792164,20.084679,20.736492,20.736492,6704468776
2023-03-01,20.736938,22.493790,16.250717,20.742540,20.742540,5660250870
2023-04-01,20.742392,23.088909,18.686502,19.476402,19.476402,5425250519
2023-05-01,19.473755,19.775406,17.475624,18.005371,18.005371,2587668889
2023-06-01,18.007416,21.096655,13.423341,20.966318,20.966318,5057068519
2023-07-01,20.960899,23.105724,17.916510,18.493885,18.493885,5241289494
2023-08-01,18.493435,18.565323,13.944385,15.500770,15.500770,3075399005
2023-09-01,15.501063,16.812841,14.467574,16.365599,16.365599,2289965177
2023-10-01,16.362541,17.703300,14.667469,17.467875,17.467875,3457034575
2023-11-01,17.470640,21.751251,16.780142,18.640305,18.640305,6739258326
2023-12-01,18.641226,24.198944,18.559752,21.908712,21.908712,8271551304
2024-01-01,21.910362,32.361862,18.504581,23.905046,23.905046,13238533767
2024-01-29,23.494486,23.710590,23.380726,23.627075,23.627075,183720560
