Date,Open,High,Low,Close,AdjClose,Volume
2023-08-01,0.517080,0.523914,0.407566,0.446403,0.446403,372174339
2023-09-01,0.446465,0.454618,0.387150,0.398051,0.398051,547604198
2023-10-01,0.397945,0.419375,0.313631,0.378953,0.378953,1202175863
2023-11-01,0.378994,0.539977,0.376345,0.538442,0.538442,2683471507
2023-12-01,0.538419,0.664408,0.535717,0.642420,0.642420,2822636219
2024-01-01,0.642450,0.848824,0.583059,0.653592,0.653592,4088419999
2024-01-29,0.639130,0.644619,0.637336,0.643085,0.643085,54383516
