Date,Open,High,Low,Close,AdjClose,Volume
2023-02-01,37.609325,58.460213,35.802174,51.723392,51.723392,1642264983
2023-03-01,51.728130,52.317638,37.643997,42.009907,42.009907,1286172300
2023-04-01,42.015984,56.465813,40.141895,47.079247,47.079247,849392242
2023-05-01,47.068878,47.781647,43.046062,45.834675,45.834675,160482206
2023-06-01,45.844597,46.479996,38.458939,44.579857,44.579857,138461879
2023-07-01,44.588699,45.808208,41.376263,42.628212,42.628212,66635351
2023-08-01,42.629658,49.076481,41.602409,42.853050,42.853050,104538613
2023-09-01,42.976093,44.100132,40.934052,42.753895,42.753895,58214849
2023-10-01,42.757004,47.825695,42.139420,45.047825,45.047825,134976066
2023-11-01,45.045433,64.265663,44.728321,56.340847,56.340847,439552727
2023-12-01,56.330349,61.896595,52.894253,54.801357,54.801357,374827220
2024-01-01,54.808105,56.914288,37.513481,54.246876,54.246876,274145573
2024-01-29,52.320084,52.385120,52.035362,52.224789,52.224789,9582626
