Date,Open,High,Low,Close,AdjClose,Volume
2023-02-01,2.169136,3.262183,2.087868,2.700007,2.700007,12517842598
2023-03-01,2.700110,2.945041,1.793762,2.286609,2.286609,8737375927
2023-04-01,2.286846,2.813242,2.108052,2.175580,2.175580,3790520593
2023-05-01,2.174733,2.185970,1.351223,1.384902,1.384902,2932014971
2023-06-01,1.384913,1.540641,1.055689,1.331462,1.331462,4249906742
2023-07-01,1.331760,1.725112,1.164461,1.615218,1.615218,3864404159
2023-08-01,1.615333,1.810884,1.285720,1.391427,1.391427,4014437980
2023-09-01,1.391534,1.435178,1.231006,1.346381,1.346381,2132436213
2023-10-01,1.346255,1.470930,1.164329,1.395470,1.395470,2708427183
2023-11-01,1.395533,1.916975,1.332018,1.671605,1.671605,4892401938
2023-12-01,1.671592,4.149229,1.641087,3.707494,3.707494,12720590628
2024-01-01,3.709903,4.250836,2.623763,3.069870,3.069870,9360918345
2024-01-29,3.026168,3.082648,3.017069,3.066126,3.066126,160498608
